taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JADJLO01					0.01			0.01				0.01			0.01	0.01		0.01		0.01						0.0	0.01	0.01		0.0		0.01				0.01			0.01	0.01	0.01			0.01		0.01	0.01				0.01		0.01					
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JADJXM01	0.0	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.02		0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02		0.03	0.01	0.02	0.02	0.04	0.02	0.03	0.02	0.02		0.01	0.01	0.01	0.02	0.01		0.03	0.01	0.03	0.01	0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JAFDVL01		0.02		0.01		0.01											0.01			0.01	0.01						0.01			0.01						0.01					0.01	0.01		0.01		0.01		0.01	0.01		0.01							
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JAHBSF01	0.03	0.05	0.07	0.06	0.14	0.04	0.02	0.1	0.05	0.09	0.03	0.07	0.01	0.02	0.04	0.08	0.05	0.05	0.05	0.05	0.04	0.01	0.02	0.02	0.04	0.09	0.08	0.06	0.04	0.02	0.03	0.05	0.07	0.05		0.05	0.04	0.05	0.04	0.04	0.05	0.06	0.06	0.04	0.01	0.03	0.06	0.04	0.12	0.01	0.04	0.05	0.07	0.07	0.06	0.06	0.04	0.04
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JAJVID01	0.03	0.03	0.13	0.06	0.12	0.17	0.18	0.15	0.15	0.11	0.01	0.21	0.03	0.04	0.16	0.03	0.04	0.09	0.13	0.09	0.16	0.11	0.11	0.05	0.05	0.01	0.07	0.06	0.05	0.12	0.12	0.21	0.03	0.14	0.01	0.16	0.03	0.08	0.06	0.09	0.02	0.11	0.11	0.05		0.01	0.06	0.07	0.03	0.14	0.01	0.1	0.09	0.13	0.09	0.03	0.03	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__JAKEHZ01			0.01		0.02		0.01	0.02			0.01	0.02		0.01	0.01	0.01			0.01	0.01	0.01				0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01		0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01			0.01	0.01	0.01			0.01				0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074; f__RBC074; g__RBC074	0.02	0.08	0.03	0.05	0.04	0.04	0.02	0.05	0.04	0.02	0.05	0.06	0.03	0.02	0.04	0.05	0.04	0.02	0.04	0.02	0.04	0.03	0.01	0.01	0.03	0.03	0.05	0.04	0.03	0.03	0.02	0.05	0.06	0.06		0.09	0.03	0.02	0.03	0.06	0.05	0.05	0.03	0.04	0.02	0.07	0.04	0.03	0.05	0.03	0.04	0.03	0.03	0.08	0.08	0.04	0.02	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656; f__JADIYM01; g__JADIYM01	0.14	0.09	0.17	0.17	0.09	0.14	0.1	0.09	0.1	0.07	0.07	0.12	0.09	0.07	0.03	0.08	0.08	0.01	0.05	0.08	0.14	0.02	0.01	0.08	0.11	0.15	0.11	0.08	0.14	0.12	0.12	0.06	0.08	0.11	0.15	0.1	0.17	0.1	0.09	0.05	0.19	0.13	0.07	0.07	0.05	0.1	0.14	0.11	0.15	0.14	0.12	0.1	0.12	0.11	0.07	0.12	0.07	0.19
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656; f__UBA7656; g__JACQDB01	0.01	0.13	0.04	0.11	0.05	0.04	0.01	0.01	0.02	0.02	0.06	0.03	0.04	0.03	0.06	0.07	0.07	0.04	0.02	0.08	0.08	0.04	0.02	0.04	0.07	0.1	0.05	0.06	0.06	0.08	0.06	0.04	0.04	0.11	0.03	0.08	0.07	0.08	0.06	0.05	0.1	0.07	0.07	0.04	0.01	0.12	0.06	0.1	0.03	0.02	0.03	0.02	0.01	0.03	0.07	0.03	0.03	0.05
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656; f__UBA7656; g__JADGNW01		0.11	0.05	0.15	0.03	0.19	0.04		0.07	0.01	0.05	0.01	0.08	0.07	0.16	0.12	0.1	0.16	0.01	0.2	0.16	0.09	0.07	0.12	0.11	0.08	0.04	0.1	0.04	0.04	0.15	0.07	0.09	0.08	0.01	0.06	0.17	0.15	0.15	0.09	0.07	0.06	0.09	0.07	0.01	0.07	0.05	0.14	0.03	0.19	0.05		0.02		0.08	0.01	0.03	0.04
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656; f__UBA7656; g__JAKEHD01		0.1	0.03	0.05	0.02	0.04	0.01		0.01		0.03		0.04	0.02	0.09	0.05	0.06	0.03		0.07	0.06	0.05	0.02	0.05	0.03	0.04	0.03	0.05	0.01	0.02	0.09	0.03	0.02	0.03	0.01	0.02	0.04	0.05	0.05	0.03	0.03	0.02	0.04	0.03		0.08	0.02	0.05	0.02	0.03	0.02			0.01	0.04	0.01	0.02	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656; f__UBA7656; g__QHVH01		0.04		0.02	0.0	0.01			0.01		0.01		0.01	0.01	0.04	0.03	0.02	0.01	0.01	0.03	0.03	0.03	0.02	0.01	0.01	0.02		0.02	0.02	0.01	0.03	0.02	0.01	0.01			0.03	0.03	0.02	0.01	0.02	0.01	0.02	0.02		0.01	0.01	0.01	0.01	0.02					0.01		0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656; f__UBA7656; g__UBA7656		0.02	0.01	0.04	0.01	0.01					0.02	0.01	0.01		0.14	0.04	0.04	0.01		0.02	0.04	0.1		0.04	0.03	0.03	0.02	0.03	0.01	0.01	0.04	0.02		0.01	0.01	0.01	0.02	0.03	0.04	0.02	0.02	0.02	0.02	0.01		0.05	0.02	0.03	0.01	0.01	0.01				0.02	0.01	0.02	0.01
Root; d__Bacteria; p__Acidobacteriota; c__HRBIN11; o__JAKEFK01; f__JAKEFK01; g__JAKEFK01	0.03	0.06	0.06	0.08	0.05	0.1	0.05	0.08	0.07	0.02	0.06	0.05	0.08	0.05	0.11	0.13	0.16	0.04	0.01	0.1	0.08	0.04	0.01	0.05	0.1	0.04	0.05	0.14	0.08	0.16	0.14	0.07	0.06	0.09	0.08	0.13	0.09	0.07	0.05	0.11	0.17	0.14	0.07	0.11	0.04	0.03	0.11	0.07	0.05	0.07	0.1	0.06	0.01	0.04	0.04	0.03	0.06	0.08
Root; d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Geothrix																0.01																																										
Root; d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophaga																																	0.01																									
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Gp22-AA2; f__AA152; g__AA152		0.01	0.03	0.03	0.08	0.06	0.04		0.13	0.03		0.06	0.02	0.02	0.33	0.11	0.07	0.24	0.06	0.14	0.36	0.16	0.12	0.17	0.12	0.09	0.03	0.15	0.03		0.2	0.15	0.05	0.03	0.01	0.05	0.15	0.21	0.22	0.09		0.07	0.19	0.04	0.0		0.01	0.02	0.03	0.17			0.02	0.01	0.04	0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Gp22-AA2; f__Gp22-AA2; g__Gp22-AA3			0.03	0.02	0.02	0.13	0.01	0.03	0.09	0.06	0.01	0.08		0.01	0.6	0.13	0.07	0.22	0.07	0.13	0.51	0.33	0.42	0.4	0.13	0.06	0.07	0.13	0.12	0.01	0.18	0.12	0.03			0.19	0.08	0.29	0.33	0.2	0.02	0.17	0.3	0.08			0.01	0.01	0.01			0.01	0.03	0.03	0.09			
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Gp22-AA2; f__Gp22-AA2; g__JACQNT01				0.01		0.01		0.01	0.01	0.01	0.01	0.02			0.11	0.04	0.02	0.05	0.01	0.04	0.1	0.08	0.05	0.06	0.03	0.01	0.03	0.04	0.02		0.05	0.04	0.01			0.04	0.01	0.07	0.07	0.03	0.01	0.04	0.05	0.01				0.01					0.01		0.02			
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Gp22-AA2; f__Gp22-AA2; g__JAGYID01			0.01	0.01	0.01	0.03		0.01	0.02	0.04		0.05			0.08	0.04	0.03	0.06	0.04	0.05	0.09	0.06	0.09	0.06	0.03	0.02	0.03	0.05	0.04		0.05	0.05	0.01			0.07	0.02	0.06	0.07	0.04	0.01	0.05	0.07	0.01				0.01					0.01	0.01	0.02			
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Gp22-AA2; f__Gp22-AA2; g__QHXZ01			0.01	0.01	0.01	0.01		0.01	0.01	0.03		0.03			0.07	0.05	0.02	0.06	0.02	0.07	0.1	0.09	0.09	0.05	0.03	0.01	0.03	0.05	0.05		0.04	0.04	0.02			0.06	0.02	0.08	0.11	0.05	0.01	0.07	0.08	0.02				0.02					0.01	0.03	0.01	0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__JACPZX01; f__JACPZX01; g__JACPZX01				0.01		0.03	0.01		0.01	0.01		0.02	0.01	0.01	0.28	0.09	0.07	0.22	0.01	0.05	0.14	0.18	0.37	0.16	0.07	0.04	0.04	0.04	0.02		0.11	0.04	0.02		0.01	0.04	0.02	0.16	0.14	0.04		0.04	0.09	0.01										0.01	0.02			
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales; f__Polarisedimenticolaceae; g__JAAELQ01		0.01	0.01	0.01	0.01	0.01		0.02	0.03	0.01	0.05	0.04			0.14	0.1	0.08	0.11	0.02	0.06	0.09	0.12	0.1	0.05	0.07	0.09	0.05	0.09	0.02	0.01	0.09	0.06	0.06		0.01	0.02	0.03	0.16	0.16	0.02	0.02	0.06	0.09	0.01			0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.03	0.01	0.01	0.0
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales; f__Polarisedimenticolaceae; g__JAIQFR01		0.03	0.12	0.06	0.15	0.13	0.08	0.08	0.19	0.12	0.1	0.33	0.03	0.02	0.35	0.26	0.26	0.35	0.14	0.19	0.28	0.29	0.32	0.07	0.23	0.25	0.14	0.22	0.14	0.03	0.3	0.19	0.18	0.05	0.05	0.08	0.17	0.42	0.43	0.08	0.09	0.15	0.39	0.06		0.02	0.05	0.08	0.09	0.06	0.07	0.04	0.1	0.13	0.12	0.08	0.06	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales; f__Polarisedimenticolaceae; g__Mor1			0.01	0.01	0.01	0.02	0.01	0.01	0.03	0.02	0.03	0.04			0.09	0.05	0.05	0.07	0.02	0.04	0.05	0.07	0.09	0.01	0.04	0.05	0.02	0.04	0.02	0.0	0.06	0.03	0.02			0.03	0.02	0.09	0.11	0.02	0.02	0.03	0.09	0.01				0.01				0.01	0.01	0.02	0.03	0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales; f__Polarisedimenticolaceae; g__Polarisedimenticola			0.01	0.01	0.01	0.01			0.01	0.01	0.01	0.02			0.06	0.03	0.02	0.03		0.01	0.02	0.03	0.03	0.01	0.03	0.05		0.02	0.01		0.02	0.02	0.02		0.01	0.01		0.03	0.04		0.0	0.01	0.03				0.01	0.01						0.01	0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales; f__Polarisedimenticolaceae; g__WVWW01		0.01	0.02	0.01	0.01	0.02		0.01	0.02	0.02	0.03	0.03	0.01	0.01	0.06	0.06	0.05	0.06	0.01	0.04	0.05	0.06	0.04	0.01	0.04	0.05	0.02	0.04	0.01	0.0	0.05	0.02	0.03		0.01	0.02	0.03	0.08	0.07	0.01	0.01	0.02	0.05	0.01			0.01	0.01	0.02	0.01	0.01		0.01	0.02	0.03	0.01	0.01	
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__QHYA01; f__QHYA01; g__QHYA01						0.01									0.03	0.01	0.01	0.03			0.02	0.03	0.02	0.01		0.01		0.01			0.02	0.01						0.03	0.03			0.01	0.03	0.01				0.01					0.01					
Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__SMYD01; f__SMYD01; g__SMYD01										0.01		0.01			0.02			0.02		0.01	0.06	0.02	0.02		0.01	0.01	0.01				0.02	0.01					0.01	0.01	0.01																0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__2-12-FULL-54-10; f__2-12-FULL-54-10; g__2-02-FULL-61-28					0.01						0.01			0.01	0.04	0.02	0.01	0.02		0.01	0.02	0.08	0.03	0.02	0.01		0.01				0.02	0.01				0.01	0.02	0.02	0.01				0.01												0.04			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__2-12-FULL-54-10; f__2-12-FULL-54-10; g__2-12-FULL-54-10															0.01							0.01																																				
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__2-12-FULL-54-10; f__2-12-FULL-54-10; g__JACPPJ01															0.02	0.01	0.01			0.01	0.01	0.01	0.01			0.01					0.01						0.02						0.01												0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__2-12-FULL-54-10; f__2-12-FULL-54-10; g__JACQGE01															0.02	0.01		0.01				0.03	0.02	0.01														0.01																	0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__2-12-FULL-54-10; f__2-12-FULL-54-10; g__JADFGZ01															0.01							0.01																																				
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__2-12-FULL-54-10; f__2-12-FULL-54-10; g__SHUM01		0.01		0.01	0.01			0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01			0.01	0.01		0.01		0.01			0.01										0.01				0.01						0.01	0.01	0.02					0.01	0.03	0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15; f__20CM-2-55-15; g__20CM-2-55-15	0.06	0.29	0.47	0.39	0.49	0.89	0.71	0.62	0.92	0.65	0.31	0.43	0.38	0.24	0.66	0.45	0.4	0.56	0.42	0.49	0.53	0.55	1.3	0.2	0.39	0.46	0.43	0.42	0.24	0.19	0.44	0.3	0.27	0.42	0.1	0.43	0.38	0.56	0.58	0.39	0.36	0.49	0.47	0.29	0.04	0.23	0.41	0.42	0.31	0.53	0.35	0.36	0.23	0.4	0.47	0.21	0.4	0.2
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15; f__20CM-2-55-15; g__CAMBFR01	0.01	0.05	0.09	0.06	0.08	0.13	0.12	0.12	0.14	0.13	0.08	0.07	0.07	0.03	0.09	0.07	0.09	0.08	0.1	0.08	0.07	0.09	0.15	0.02	0.07	0.12	0.06	0.07	0.04	0.03	0.04	0.05	0.07	0.08	0.01	0.07	0.06	0.08	0.09	0.07	0.06	0.06	0.08	0.04		0.05	0.08	0.07	0.08	0.09	0.07	0.07	0.05	0.09	0.09	0.04	0.08	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15; f__20CM-2-55-15; g__JAHFTY01	0.01	0.06	0.06	0.06	0.07	0.11	0.09	0.1	0.14	0.11	0.06	0.07	0.05	0.05	0.09	0.05	0.07	0.06	0.08	0.07	0.06	0.08	0.15	0.02	0.07	0.07	0.06	0.05	0.02	0.04	0.04	0.04	0.03	0.07	0.02	0.07	0.04	0.07	0.08	0.07	0.04	0.05	0.06	0.05	0.0	0.05	0.06	0.05	0.05	0.08	0.05	0.05	0.05	0.09	0.08	0.04	0.05	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15; f__20CM-2-55-15; g__JAJEDW01										0.01	0.01		0.01		0.01		0.0			0.01						0.01											0.01	0.01			0.01														0.01	0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__2-02-FULL-67-57; g__2-02-FULL-67-57															0.1	0.05	0.03	0.01			0.01	0.13	0.01	0.18			0.02	0.03			0.02								0.01																			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__2-02-FULL-67-57; g__JACPRL01															0.11	0.06	0.03	0.01				0.14	0.01	0.16			0.05	0.04			0.02																											
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__2-02-FULL-67-57; g__JACZYA01															0.02	0.01						0.02		0.02				0.01																														
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__Acidoferrum						0.1	0.08	0.01	0.12	0.01					0.01	0.02	0.01					0.07		0.12				0.01							0.02				0.01											0.04	0.01			0.01				
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__DSGC01																						0.01		0.02																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__JACQDE01																0.02		0.01				0.06		0.1											0.06																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__JAIQGC01																						0.01		0.02											0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__JAKASX01																						0.01																																				
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__Palsa-147																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__Palsa-189				0.01	0.01	0.01	0.01	0.01	0.01	0.01				0.01	0.06	0.07	0.05	0.04		0.01		0.1	0.09	0.04							0.02	0.01	0.01	0.01	0.01		0.02	0.01		0.02			0.01	0.02		0.01	0.0	0.0	0.01	0.02	0.01	0.01		0.01	0.01			0.0
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__Palsa-295															0.01	0.02						0.04		0.11				0.01							0.03																				0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__Palsa-360															0.01	0.01	0.02	0.01				0.03	0.01	0.03											0.01				0.01					0.01														
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__QHYU01																0.01						0.07		0.1											0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__BOG-224	0.01	0.03	0.02	0.02	0.03	0.02	0.02	0.01	0.02	0.03	0.02	0.01		0.03	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.04	0.02	0.06	0.02	0.01		0.01		0.02	0.02	0.01	0.01		0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.03	0.02	0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__BOG-234	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01		0.2	0.02	0.02	0.02	0.01	0.02	0.02	0.03	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.03	0.02	0.02	0.01	0.02	0.01	0.02	0.01		0.01	0.03	0.02	0.01	0.02	0.01	0.01	0.01		0.01	0.02	0.01	0.01	0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Bog-105	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.2	0.04	0.04	0.03	0.02	0.02	0.01	0.02	0.02	0.03	0.03	0.02	0.01	0.01	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.05	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Bog-113	0.01																0.01								0.01		0.01								0.01		0.01			0.01			0.01															
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Bog-159					0.01											0.01																			0.01				0.01		0.01					0.01				0.01								
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Bog-375	0.01	0.02	0.01		0.01		0.01		0.01	0.01			0.01	0.01	0.01	0.01	0.01						0.02				0.01	0.01			0.01		0.01		0.03					0.01	0.01			0.01		0.0		0.01	0.01	0.01					0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	0.01										0.01	0.01															0.02			0.0			0.01				0.01															0.01	0.01	0.01	0.01	0.03		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__CADEFT01	0.04	0.06	0.02	0.05	0.02	0.01	0.03	0.02	0.03	0.03	0.03	0.04	0.03	0.01	0.05	0.08	0.07	0.05	0.03	0.04	0.05	0.03	0.04	0.09	0.04	0.03	0.05	0.04	0.03	0.02	0.05	0.02	0.04	0.02	0.1	0.05	0.04	0.03	0.03	0.01	0.04	0.03	0.04	0.02	0.02	0.03	0.02	0.02	0.04	0.02	0.03	0.02	0.03	0.04	0.03	0.05	0.01	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__CAIRSA01																0.01	0.01				0.01		0.01								0.01						0.0																					
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__DSOI01							0.0		0.01																																																	
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__DTKY01																	0.01																		0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__F-183				0.01								0.01																					0.01																					0.01		0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Fen-178																							0.01												0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Fen-330	0.01																0.01	0.01		0.01			0.01	0.01			0.01				0.0		0.01		0.06					0.01						0.0												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Ga0077553	0.01	0.01		0.02	0.01	0.02	0.01	0.01	0.02	0.03	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.03	0.01		0.01	0.01	0.01	0.01		0.03	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01		0.01		0.01	0.01			0.01		0.01	0.01	0.02	0.01	0.02	0.01	0.06	0.01	0.03	0.03	0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JACADU01												0.01			0.01	0.03	0.04	0.04						0.01	0.01	0.0							0.06		0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JACMLA01	0.05	0.04	0.02	0.02	0.01	0.01	0.01	0.02		0.02	0.02	0.01	0.01	0.02		0.02	0.02		0.01	0.01					0.01	0.02	0.01	0.01	0.04	0.03	0.01	0.01	0.03	0.02	0.08		0.01				0.02	0.01		0.01	0.04	0.03	0.03	0.01	0.01		0.02	0.01	0.03	0.01	0.01	0.01	0.01	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JACOTZ01	0.01	0.01		0.01											0.01	0.01	0.01									0.01		0.01	0.02	0.01			0.01		0.05						0.01				0.01	0.02	0.01											0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JACQZT01																																			0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADGHK01		0.01																												0.0					0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADGNR01		0.01					0.01			0.01	0.01	0.01				0.01	0.01						0.0				0.01	0.01					0.01	0.01	0.03						0.01					0.01			0.01	0.01								
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADJWL01	0.01	0.01		0.01	0.0		0.01		0.01		0.01				0.02	0.01	0.02			0.01	0.01	0.02		0.02	0.01	0.01	0.03	0.01		0.01	0.01				0.03	0.01	0.02		0.02	0.01	0.01					0.01		0.01	0.01			0.01			0.01	0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADLDI01	0.01	0.01			0.01						0.01				0.01	0.01	0.01	0.02		0.01	0.01	0.01	0.01	0.01	0.01		0.01			0.0	0.02		0.01		0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADZAF01																																			0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADZCI01																0.01											0.01																															
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JADZGD01					0.0										0.01	0.01	0.01														0.01	0.01			0.02			0.01	0.01				0.01															
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JAEHDI01															0.01	0.02	0.02	0.01				0.01	0.01	0.05			0.01	0.01							0.02		0.01																					
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__JAFLBB01	0.01	0.01	0.02	0.03	0.02		0.03	0.01	0.02	0.03	0.02	0.01	0.03	0.01	0.01	0.03	0.02	0.01	0.03	0.01	0.02	0.01	0.04	0.06	0.03	0.02	0.03	0.01	0.01	0.0	0.02	0.01	0.01		0.01	0.02	0.07	0.01	0.02			0.01	0.01	0.01			0.01	0.02	0.01		0.01	0.01	0.01	0.01	0.03	0.03	0.01	0.01
